territory_code	cd_nom	revised_conservation_priority	revision_date
PACA	105548	2	2017-01-01
PACA	105641	2	2017-01-01
PACA	105680	2	2017-01-01
PACA	105687	2	2017-01-01
PACA	105775	2	2017-01-01
PACA	105816	2	2017-01-01
PACA	105980	2	2017-01-01
PACA	105991	2	2017-01-01
PACA	106046	2	2017-01-01
PACA	106077	2	2017-01-01
PACA	106150	2	2017-01-01
PACA	106313	2	2017-01-01
PACA	106351	2	2017-01-01
PACA	717294	2	2017-01-01
PACA	106353	2	2017-01-01
PACA	106374	2	2017-01-01
PACA	106446	2	2017-01-01
PACA	106497	2	2017-01-01
PACA	106535	2	2017-01-01
PACA	106536	2	2017-01-01
PACA	106666	2	2017-01-01
PACA	106696	2	2017-01-01
PACA	106747	2	2017-01-01
PACA	106852	2	2017-01-01
PACA	106918	2	2017-01-01
PACA	610910	2	2017-01-01
PACA	107085	2	2017-01-01
PACA	107115	2	2017-01-01
PACA	107123	2	2017-01-01
PACA	107125	2	2017-01-01
PACA	107185	2	2017-01-01
PACA	107233	2	2017-01-01
PACA	717790	2	2017-01-01
PACA	107286	2	2017-01-01
PACA	107295	2	2017-01-01
PACA	107302	2	2017-01-01
PACA	717791	2	2017-01-01
PACA	107323	2	2017-01-01
PACA	107347	2	2017-01-01
PACA	107351	2	2017-01-01
PACA	107495	2	2017-01-01
PACA	107500	2	2017-01-01
PACA	107588	2	2017-01-01
PACA	107605	2	2017-01-01
PACA	107606	2	2017-01-01
PACA	107654	2	2017-01-01
PACA	137648	2	2017-01-01
PACA	107692	2	2017-01-01
PACA	107712	2	2017-01-01
PACA	107905	2	2017-01-01
PACA	107963	2	2017-01-01
PACA	107936	2	2017-01-01
PACA	108029	2	2017-01-01
PACA	108044	2	2017-01-01
PACA	108345	2	2017-01-01
PACA	108350	2	2017-01-01
PACA	108399	2	2017-01-01
PACA	108507	2	2017-01-01
PACA	108543	2	2017-01-01
PACA	159924	2	2017-01-01
PACA	137844	2	2017-01-01
PACA	717317	2	2017-01-01
PACA	108684	2	2017-01-01
PACA	108694	2	2017-01-01
PACA	108869	2	2017-01-01
PACA	610916	2	2017-01-01
PACA	109011	2	2017-01-01
PACA	137907	2	2017-01-01
PACA	137914	2	2017-01-01
PACA	109057	2	2017-01-01
PACA	109099	2	2017-01-01
PACA	109121	2	2017-01-01
PACA	109126	2	2017-01-01
PACA	109151	2	2017-01-01
PACA	109213	2	2017-01-01
PACA	109215	2	2017-01-01
PACA	109234	2	2017-01-01
PACA	109252	2	2017-01-01
PACA	612520	2	2017-01-01
PACA	109309	2	2017-01-01
PACA	109346	2	2017-01-01
PACA	717797	2	2017-01-01
PACA	109498	2	2017-01-01
PACA	109516	2	2017-01-01
PACA	109584	2	2017-01-01
PACA	109636	2	2017-01-01
PACA	138089	2	2017-01-01
PACA	109678	2	2017-01-01
PACA	109684	2	2017-01-01
PACA	109732	2	2017-01-01
PACA	109750	2	2017-01-01
PACA	109769	2	2017-01-01
PACA	612521	2	2017-01-01
PACA	109869	2	2017-01-01
PACA	109881	2	2017-01-01
PACA	110207	2	2017-01-01
PACA	110218	2	2017-01-01
PACA	110241	2	2017-01-01
PACA	110171	2	2017-01-01
PACA	110306	2	2017-01-01
PACA	110307	2	2017-01-01
PACA	621126	2	2017-01-01
PACA	110357	2	2017-01-01
PACA	110362	2	2017-01-01
PACA	110394	2	2017-01-01
PACA	110409	2	2017-01-01
PACA	110452	2	2017-01-01
PACA	110704	2	2017-01-01
PACA	110473	2	2017-01-01
PACA	111236	2	2017-01-01
PACA	111419	2	2017-01-01
PACA	111499	2	2017-01-01
PACA	111517	2	2017-01-01
PACA	111560	2	2017-01-01
PACA	111628	2	2017-01-01
PACA	111637	2	2017-01-01
PACA	111665	2	2017-01-01
PACA	810946	2	2017-01-01
PACA	717358	2	2017-01-01
PACA	717361	2	2017-01-01
PACA	717362	2	2017-01-01
PACA	111972	2	2017-01-01
PACA	112064	2	2017-01-01
PACA	112070	2	2017-01-01
PACA	112233	2	2017-01-01
PACA	112347	2	2017-01-01
PACA	112396	2	2017-01-01
PACA	112405	2	2017-01-01
PACA	112431	2	2017-01-01
PACA	112439	2	2017-01-01
PACA	112573	2	2017-01-01
PACA	112590	2	2017-01-01
PACA	112727	2	2017-01-01
PACA	112746	2	2017-01-01
PACA	112747	2	2017-01-01
PACA	112810	2	2017-01-01
PACA	112821	2	2017-01-01
PACA	112980	2	2017-01-01
PACA	608746	2	2017-01-01
PACA	113016	2	2017-01-01
PACA	113076	2	2017-01-01
PACA	113093	2	2017-01-01
PACA	113096	2	2017-01-01
PACA	610877	2	2017-01-01
PACA	113178	2	2017-01-01
PACA	113230	2	2017-01-01
PACA	611394	2	2017-01-01
PACA	113586	2	2017-01-01
PACA	113805	2	2017-01-01
PACA	113843	2	2017-01-01
PACA	113975	2	2017-01-01
PACA	114035	2	2017-01-01
PACA	114209	2	2017-01-01
PACA	114312	2	2017-01-01
PACA	611920	2	2017-01-01
PACA	114519	2	2017-01-01
PACA	114554	2	2017-01-01
PACA	114586	2	2017-01-01
PACA	139086	2	2017-01-01
PACA	114660	2	2017-01-01
PACA	115030	2	2017-01-01
PACA	115237	2	2017-01-01
PACA	115245	2	2017-01-01
PACA	115270	2	2017-01-01
PACA	115280	2	2017-01-01
PACA	115296	2	2017-01-01
PACA	115305	2	2017-01-01
PACA	115395	2	2017-01-01
PACA	115486	2	2017-01-01
PACA	115573	2	2017-01-01
PACA	115637	2	2017-01-01
PACA	115687	2	2017-01-01
PACA	115797	2	2017-01-01
PACA	115833	2	2017-01-01
PACA	116210	2	2017-01-01
PACA	116272	2	2017-01-01
PACA	116349	2	2017-01-01
PACA	116405	2	2017-01-01
PACA	116870	2	2017-01-01
PACA	116979	2	2017-01-01
PACA	117025	2	2017-01-01
PACA	117090	2	2017-01-01
