territory_code	cd_nom	revised_conservation_priority	revision_date
01	81501	3	2019-01-01
01	82130	2	2019-01-01
01	82282	3	2019-01-01
01	82286	2	2019-01-01
01	82544	3	2019-01-01
01	83152	3	2019-01-01
01	83584	3	2019-01-01
01	84328	3	2019-01-01
01	84330	3	2019-01-01
01	85486	2	2019-01-01
01	87275	3	2019-01-01
01	88344	3	2019-01-01
01	88391	3	2019-01-01
01	88472	3	2019-01-01
01	88632	3	2019-01-01
01	88669	3	2019-01-01
01	88762	3	2019-01-01
01	88845	3	2019-01-01
01	89316	3	2019-01-01
01	92515	3	2019-01-01
01	93456	3	2019-01-01
01	94068	3	2019-01-01
01	94423	3	2019-01-01
01	94572	3	2019-01-01
01	94833	3	2019-01-01
01	95439	3	2019-01-01
01	95847	1	2019-01-01
01	95860	3	2019-01-01
01	95877	3	2019-01-01
01	95916	2	2019-01-01
01	96130	3	2019-01-01
01	96134	3	2019-01-01
01	96851	3	2019-01-01
01	97133	3	2019-01-01
01	97904	1	2019-01-01
01	98596	3	2019-01-01
01	99566	3	2019-01-01
01	100275	3	2019-01-01
01	100278	3	2019-01-01
01	101220	3	2019-01-01
01	101223	3	2019-01-01
01	101262	3	2019-01-01
01	102930	3	2019-01-01
01	103272	3	2019-01-01
01	103777	3	2019-01-01
01	103862	3	2019-01-01
01	103995	2	2019-01-01
01	105086	3	2019-01-01
01	105548	2	2019-01-01
01	105827	1	2019-01-01
01	106258	3	2019-01-01
01	106353	2	2019-01-01
01	106993	3	2019-01-01
01	107407	3	2019-01-01
01	109057	2	2019-01-01
01	109126	2	2019-01-01
01	110108	3	2019-01-01
01	110341	1	2019-01-01
01	111452	3	2019-01-01
01	111474	3	2019-01-01
01	114554	2	2019-01-01
01	115226	3	2019-01-01
01	115256	3	2019-01-01
01	115669	3	2019-01-01
01	116870	2	2019-01-01
01	117146	2	2019-01-01
01	117156	2	2019-01-01
01	121329	3	2019-01-01
01	121552	2	2019-01-01
01	121554	3	2019-01-01
01	123562	3	2019-01-01
01	123789	3	2019-01-01
01	123960	2	2019-01-01
01	124412	2	2019-01-01
01	124699	3	2019-01-01
01	125319	3	2019-01-01
01	127191	3	2019-01-01
01	128311	3	2019-01-01
01	128315	2	2019-01-01
01	128343	3	2019-01-01
01	128347	3	2019-01-01
01	129643	3	2019-01-01
01	131848	3	2019-01-01
01	137017	3	2019-01-01
01	138235	1	2019-01-01
01	138282	3	2019-01-01
01	138815	3	2019-01-01
01	141033	3	2019-01-01
01	142006	1	2019-01-01
01	154761	3	2019-01-01
01	159499	3	2019-01-01
01	521629	3	2019-01-01
01	610910	2	2019-01-01
01	612499	3	2019-01-01
01	717746	3	2019-01-01
01	718211	3	2019-01-01
01	718375	3	2019-01-01
01	888128	2	2019-01-01
26	79865	2	2019-01-01
26	79914	3	2019-01-01
26	80864	3	2019-01-01
26	81035	3	2019-01-01
26	81287	2	2019-01-01
26	81507	2	2019-01-01
26	81624	2	2019-01-01
26	81935	3	2019-01-01
26	82509	3	2019-01-01
26	82619	2	2019-01-01
26	83422	3	2019-01-01
26	83535	3	2019-01-01
26	83638	3	2019-01-01
26	84100	3	2019-01-01
26	84297	1	2019-01-01
26	84328	3	2019-01-01
26	84330	3	2019-01-01
26	84514	3	2019-01-01
26	84817	3	2019-01-01
26	84904	3	2019-01-01
26	86394	2	2019-01-01
26	87053	3	2019-01-01
26	87102	2	2019-01-01
26	87106	2	2019-01-01
26	87136	2	2019-01-01
26	87275	3	2019-01-01
26	88344	3	2019-01-01
26	88391	3	2019-01-01
26	88465	3	2019-01-01
26	88576	2	2019-01-01
26	88893	3	2019-01-01
26	89531	3	2019-01-01
26	90180	3	2019-01-01
26	90222	2	2019-01-01
26	92254	2	2019-01-01
26	92566	3	2019-01-01
26	92615	2	2019-01-01
26	92651	2	2019-01-01
26	93140	2	2019-01-01
26	93307	3	2019-01-01
26	93829	3	2019-01-01
26	94068	3	2019-01-01
26	94079	3	2019-01-01
26	94114	3	2019-01-01
26	94578	3	2019-01-01
26	94599	2	2019-01-01
26	94830	2	2019-01-01
26	94833	3	2019-01-01
26	94923	3	2019-01-01
26	95741	3	2019-01-01
26	96130	3	2019-01-01
26	96134	3	2019-01-01
26	96443	3	2019-01-01
26	96469	3	2019-01-01
26	97222	3	2019-01-01
26	97601	2	2019-01-01
26	99165	3	2019-01-01
26	99193	3	2019-01-01
26	99741	3	2019-01-01
26	100273	3	2019-01-01
26	100576	3	2019-01-01
26	100710	2	2019-01-01
26	101295	2	2019-01-01
26	101315	2	2019-01-01
26	102930	3	2019-01-01
26	102990	3	2019-01-01
26	103120	2	2019-01-01
26	103142	2	2019-01-01
26	103433	2	2019-01-01
26	103598	2	2019-01-01
26	104148	2	2019-01-01
26	104329	3	2019-01-01
26	105204	3	2019-01-01
26	105239	2	2019-01-01
26	105687	2	2019-01-01
26	106280	3	2019-01-01
26	106419	3	2019-01-01
26	106446	2	2019-01-01
26	107106	3	2019-01-01
26	109057	2	2019-01-01
26	109252	2	2019-01-01
26	109769	2	2019-01-01
26	109869	2	2019-01-01
26	110068	1	2019-01-01
26	110108	3	2019-01-01
26	110110	3	2019-01-01
26	110385	3	2019-01-01
26	110445	3	2019-01-01
26	110473	2	2019-01-01
26	111464	3	2019-01-01
26	111560	2	2019-01-01
26	111972	2	2019-01-01
26	112293	3	2019-01-01
26	112590	2	2019-01-01
26	113090	3	2019-01-01
26	113547	3	2019-01-01
26	114209	2	2019-01-01
26	114226	3	2019-01-01
26	114554	2	2019-01-01
26	114660	2	2019-01-01
26	116870	2	2019-01-01
26	117712	3	2019-01-01
26	117820	3	2019-01-01
26	121329	3	2019-01-01
26	121556	2	2019-01-01
26	123293	3	2019-01-01
26	123560	3	2019-01-01
26	123597	2	2019-01-01
26	124534	2	2019-01-01
26	124699	3	2019-01-01
26	126213	3	2019-01-01
26	126478	2	2019-01-01
26	126615	3	2019-01-01
26	127269	3	2019-01-01
26	127501	3	2019-01-01
26	127915	3	2019-01-01
26	127988	2	2019-01-01
26	128084	2	2019-01-01
26	128330	3	2019-01-01
26	128469	2	2019-01-01
26	128782	1	2019-01-01
26	129481	2	2019-01-01
26	129596	3	2019-01-01
26	131373	2	2019-01-01
26	131826	3	2019-01-01
26	131849	3	2019-01-01
26	133046	3	2019-01-01
26	133860	3	2019-01-01
26	136789	3	2019-01-01
26	137171	3	2019-01-01
26	138067	3	2019-01-01
26	138126	3	2019-01-01
26	138235	1	2019-01-01
26	138244	3	2019-01-01
26	138282	3	2019-01-01
26	138535	3	2019-01-01
26	138547	3	2019-01-01
26	138815	3	2019-01-01
26	138865	3	2019-01-01
26	140615	3	2019-01-01
26	140804	3	2019-01-01
26	141033	3	2019-01-01
26	150460	3	2019-01-01
26	159499	3	2019-01-01
26	160269	2	2019-01-01
26	521629	3	2019-01-01
26	612395	1	2019-01-01
26	612465	2	2019-01-01
26	717075	3	2019-01-01
26	717152	3	2019-01-01
26	717572	3	2019-01-01
26	717746	3	2019-01-01
26	717776	1	2019-01-01
26	810955	1	2019-01-01
26	811241	3	2019-01-01
38	79914	3	2019-01-01
38	81096	3	2019-01-01
38	81287	2	2019-01-01
38	81316	2	2019-01-01
38	81347	3	2019-01-01
38	81501	3	2019-01-01
38	81522	3	2019-01-01
38	81658	3	2019-01-01
38	82282	3	2019-01-01
38	82286	2	2019-01-01
38	82478	3	2019-01-01
38	82509	3	2019-01-01
38	82619	2	2019-01-01
38	83584	3	2019-01-01
38	83945	2	2019-01-01
38	83958	3	2019-01-01
38	84328	3	2019-01-01
38	84817	3	2019-01-01
38	85486	2	2019-01-01
38	86199	3	2019-01-01
38	87106	2	2019-01-01
38	87136	2	2019-01-01
38	87275	3	2019-01-01
38	87417	3	2019-01-01
38	87613	3	2019-01-01
38	87963	3	2019-01-01
38	88077	2	2019-01-01
38	88344	3	2019-01-01
38	88380	3	2019-01-01
38	88391	3	2019-01-01
38	88400	3	2019-01-01
38	88465	3	2019-01-01
38	88468	2	2019-01-01
38	88493	3	2019-01-01
38	88508	3	2019-01-01
38	88614	2	2019-01-01
38	88669	3	2019-01-01
38	88693	3	2019-01-01
38	88762	3	2019-01-01
38	89316	3	2019-01-01
38	90116	3	2019-01-01
38	91346	3	2019-01-01
38	93829	3	2019-01-01
38	93929	2	2019-01-01
38	94063	3	2019-01-01
38	94068	3	2019-01-01
38	94578	3	2019-01-01
38	95398	3	2019-01-01
38	95439	3	2019-01-01
38	95847	1	2019-01-01
38	95916	2	2019-01-01
38	96443	3	2019-01-01
38	96469	3	2019-01-01
38	96742	3	2019-01-01
38	96851	3	2019-01-01
38	97133	3	2019-01-01
38	98060	3	2019-01-01
38	98988	2	2019-01-01
38	99165	3	2019-01-01
38	99566	3	2019-01-01
38	100024	3	2019-01-01
38	100576	3	2019-01-01
38	100702	3	2019-01-01
38	101223	3	2019-01-01
38	101295	2	2019-01-01
38	101315	2	2019-01-01
38	102794	3	2019-01-01
38	102930	3	2019-01-01
38	103027	3	2019-01-01
38	103120	2	2019-01-01
38	103501	3	2019-01-01
38	103598	2	2019-01-01
38	103995	2	2019-01-01
38	104123	3	2019-01-01
38	104302	2	2019-01-01
38	105010	3	2019-01-01
38	105086	3	2019-01-01
38	105239	2	2019-01-01
38	105407	3	2019-01-01
38	105548	2	2019-01-01
38	105827	1	2019-01-01
38	106258	3	2019-01-01
38	106353	2	2019-01-01
38	106545	3	2019-01-01
38	106807	3	2019-01-01
38	106993	3	2019-01-01
38	107085	2	2019-01-01
38	107407	3	2019-01-01
38	109057	2	2019-01-01
38	109534	3	2019-01-01
38	109769	2	2019-01-01
38	109869	2	2019-01-01
38	110108	3	2019-01-01
38	110341	1	2019-01-01
38	110385	3	2019-01-01
38	110445	3	2019-01-01
38	111464	3	2019-01-01
38	111474	3	2019-01-01
38	111972	2	2019-01-01
38	111976	3	2019-01-01
38	112590	2	2019-01-01
38	113090	3	2019-01-01
38	113178	2	2019-01-01
38	113213	3	2019-01-01
38	114226	3	2019-01-01
38	114519	2	2019-01-01
38	115395	2	2019-01-01
38	115458	1	2019-01-01
38	115519	3	2019-01-01
38	115883	3	2019-01-01
38	116225	3	2019-01-01
38	116870	2	2019-01-01
38	117156	2	2019-01-01
38	117731	3	2019-01-01
38	117732	3	2019-01-01
38	119968	3	2019-01-01
38	119970	3	2019-01-01
38	120056	3	2019-01-01
