id_reglementation	territory_code	cd_nom	revised_conservation_priority	revision_date
HIE_AURA_26	26	126478	2	2019-01-01
HIE_AURA_26	26	126615	3	2019-01-01
HIE_AURA_26	26	127269	3	2019-01-01
HIE_AURA_26	26	160269	2	2019-01-01
HIE_AURA_26	26	127501	3	2019-01-01
HIE_AURA_26	26	127915	3	2019-01-01
HIE_AURA_26	26	127988	2	2019-01-01
HIE_AURA_26	26	128084	2	2019-01-01
HIE_AURA_26	26	128330	3	2019-01-01
HIE_AURA_26	26	128469	2	2019-01-01
HIE_AURA_26	26	128782	1	2019-01-01
HIE_AURA_26	26	129481	2	2019-01-01
HIE_AURA_26	26	129596	3	2019-01-01
HIE_AURA_38	38	79914	3	2019-01-01
HIE_AURA_38	38	81096	3	2019-01-01
HIE_AURA_38	38	81287	2	2019-01-01
HIE_AURA_38	38	81316	2	2019-01-01
HIE_AURA_38	38	81347	3	2019-01-01
HIE_AURA_38	38	81501	3	2019-01-01
HIE_AURA_38	38	81522	3	2019-01-01
HIE_AURA_38	38	81658	3	2019-01-01
HIE_AURA_38	38	82282	3	2019-01-01
HIE_AURA_38	38	82286	2	2019-01-01
HIE_AURA_38	38	82478	3	2019-01-01
HIE_AURA_38	38	82509	3	2019-01-01
HIE_AURA_38	38	82619	2	2019-01-01
HIE_AURA_38	38	83584	3	2019-01-01
HIE_AURA_38	38	83945	2	2019-01-01
HIE_AURA_38	38	83958	3	2019-01-01
HIE_AURA_38	38	84328	3	2019-01-01
HIE_AURA_38	38	131826	3	2019-01-01
HIE_AURA_38	38	84817	3	2019-01-01
HIE_AURA_38	38	85486	2	2019-01-01
HIE_AURA_38	38	86199	3	2019-01-01
HIE_AURA_38	38	611983	3	2019-01-01
HIE_AURA_38	38	87106	2	2019-01-01
HIE_AURA_38	38	87136	2	2019-01-01
HIE_AURA_38	38	87275	3	2019-01-01
HIE_AURA_38	38	87417	3	2019-01-01
HIE_AURA_38	38	87613	3	2019-01-01
HIE_AURA_38	38	87963	3	2019-01-01
HIE_AURA_38	38	88077	2	2019-01-01
HIE_AURA_38	38	88344	3	2019-01-01
HIE_AURA_38	38	88380	3	2019-01-01
HIE_AURA_38	38	88391	3	2019-01-01
HIE_AURA_38	38	88400	3	2019-01-01
HIE_AURA_38	38	88465	3	2019-01-01
HIE_AURA_38	38	88468	2	2019-01-01
HIE_AURA_38	38	88493	3	2019-01-01
HIE_AURA_38	38	88508	3	2019-01-01
HIE_AURA_38	38	88614	2	2019-01-01
HIE_AURA_38	38	88669	3	2019-01-01
HIE_AURA_38	38	88693	3	2019-01-01
HIE_AURA_38	38	88762	3	2019-01-01
HIE_AURA_38	38	89316	3	2019-01-01
HIE_AURA_38	38	90116	3	2019-01-01
HIE_AURA_38	38	133172	3	2019-01-01
HIE_AURA_38	38	91346	3	2019-01-01
HIE_AURA_38	38	717746	3	2019-01-01
HIE_AURA_38	38	93829	3	2019-01-01
HIE_AURA_38	38	93929	2	2019-01-01
HIE_AURA_38	38	888128	2	2019-01-01
HIE_AURA_38	38	94063	3	2019-01-01
HIE_AURA_38	38	94068	3	2019-01-01
HIE_AURA_38	38	94578	3	2019-01-01
HIE_AURA_38	38	95398	3	2019-01-01
HIE_AURA_38	38	95439	3	2019-01-01
HIE_AURA_38	38	95847	1	2019-01-01
HIE_AURA_38	38	95916	2	2019-01-01
HIE_AURA_38	38	718211	3	2019-01-01
HIE_AURA_38	38	521629	3	2019-01-01
HIE_AURA_38	38	96443	3	2019-01-01
HIE_AURA_38	38	96469	3	2019-01-01
HIE_AURA_38	38	96742	3	2019-01-01
HIE_AURA_38	38	96851	3	2019-01-01
HIE_AURA_38	38	97133	3	2019-01-01
HIE_AURA_38	38	98060	3	2019-01-01
HIE_AURA_38	38	98988	2	2019-01-01
HIE_AURA_38	38	99165	3	2019-01-01
HIE_AURA_38	38	99566	3	2019-01-01
HIE_AURA_38	38	100024	3	2019-01-01
HIE_AURA_38	38	100576	3	2019-01-01
HIE_AURA_38	38	100702	3	2019-01-01
HIE_AURA_38	38	101223	3	2019-01-01
HIE_AURA_38	38	101295	2	2019-01-01
HIE_AURA_38	38	101315	2	2019-01-01
HIE_AURA_38	38	102794	3	2019-01-01
HIE_AURA_38	38	102930	3	2019-01-01
HIE_AURA_38	38	103027	3	2019-01-01
HIE_AURA_38	38	103120	2	2019-01-01
HIE_AURA_38	38	103501	3	2019-01-01
HIE_AURA_38	38	103598	2	2019-01-01
HIE_AURA_38	38	103995	2	2019-01-01
HIE_AURA_38	38	104123	3	2019-01-01
HIE_AURA_38	38	104302	2	2019-01-01
HIE_AURA_38	38	137017	3	2019-01-01
HIE_AURA_38	38	105010	3	2019-01-01
HIE_AURA_38	38	105086	3	2019-01-01
HIE_AURA_38	38	105239	2	2019-01-01
HIE_AURA_38	38	811241	3	2019-01-01
HIE_AURA_38	38	105407	3	2019-01-01
HIE_AURA_38	38	105548	2	2019-01-01
HIE_AURA_38	38	161860	3	2019-01-01
HIE_AURA_38	38	105827	1	2019-01-01
HIE_AURA_38	38	718375	3	2019-01-01
HIE_AURA_38	38	718376	3	2019-01-01
HIE_AURA_38	38	106258	3	2019-01-01
HIE_AURA_38	38	106353	2	2019-01-01
HIE_AURA_38	38	106545	3	2019-01-01
HIE_AURA_38	38	106807	3	2019-01-01
HIE_AURA_38	38	106993	3	2019-01-01
HIE_AURA_38	38	610910	2	2019-01-01
HIE_AURA_38	38	107085	2	2019-01-01
HIE_AURA_38	38	107407	3	2019-01-01
HIE_AURA_38	38	109057	2	2019-01-01
HIE_AURA_38	38	109534	3	2019-01-01
HIE_AURA_38	38	159499	3	2019-01-01
HIE_AURA_38	38	109769	2	2019-01-01
HIE_AURA_38	38	138126	3	2019-01-01
HIE_AURA_38	38	109869	2	2019-01-01
HIE_AURA_38	38	110108	3	2019-01-01
HIE_AURA_38	38	138235	1	2019-01-01
HIE_AURA_38	38	138241	1	2019-01-01
HIE_AURA_38	38	110341	1	2019-01-01
HIE_AURA_38	38	110385	3	2019-01-01
HIE_AURA_38	38	110445	3	2019-01-01
HIE_AURA_38	38	111464	3	2019-01-01
HIE_AURA_38	38	111474	3	2019-01-01
HIE_AURA_38	38	611038	3	2019-01-01
HIE_AURA_38	38	111972	2	2019-01-01
HIE_AURA_38	38	111976	3	2019-01-01
HIE_AURA_38	38	138547	3	2019-01-01
HIE_AURA_38	38	112590	2	2019-01-01
HIE_AURA_38	38	113090	3	2019-01-01
HIE_AURA_38	38	113178	2	2019-01-01
HIE_AURA_38	38	113213	3	2019-01-01
HIE_AURA_38	38	138815	3	2019-01-01
HIE_AURA_38	38	138817	3	2019-01-01
HIE_AURA_38	38	114226	3	2019-01-01
HIE_AURA_38	38	114519	2	2019-01-01
HIE_AURA_38	38	115395	2	2019-01-01
HIE_AURA_38	38	115458	1	2019-01-01
HIE_AURA_38	38	115519	3	2019-01-01
HIE_AURA_38	38	115883	3	2019-01-01
HIE_AURA_38	38	116225	3	2019-01-01
HIE_AURA_38	38	116870	2	2019-01-01
HIE_AURA_38	38	150460	3	2019-01-01
HIE_AURA_38	38	139765	3	2019-01-01
HIE_AURA_38	38	117156	2	2019-01-01
HIE_AURA_38	38	139818	3	2019-01-01
HIE_AURA_38	38	117731	3	2019-01-01
HIE_AURA_38	38	117732	3	2019-01-01
HIE_AURA_38	38	119968	3	2019-01-01
HIE_AURA_38	38	119970	3	2019-01-01
HIE_AURA_38	38	120056	3	2019-01-01
HIE_AURA_38	38	120951	3	2019-01-01
HIE_AURA_38	38	121124	3	2019-01-01
HIE_AURA_38	38	121174	3	2019-01-01
HIE_AURA_38	38	121329	3	2019-01-01
HIE_AURA_38	38	121500	3	2019-01-01
HIE_AURA_38	38	121552	2	2019-01-01
HIE_AURA_38	38	121554	3	2019-01-01
HIE_AURA_38	38	121556	2	2019-01-01
HIE_AURA_38	38	121570	2	2019-01-01
HIE_AURA_38	38	121860	3	2019-01-01
HIE_AURA_38	38	141033	3	2019-01-01
HIE_AURA_38	38	123669	2	2019-01-01
HIE_AURA_38	38	123789	3	2019-01-01
HIE_AURA_38	38	123899	3	2019-01-01
HIE_AURA_38	38	124412	2	2019-01-01
HIE_AURA_38	38	124699	3	2019-01-01
HIE_AURA_38	38	125173	3	2019-01-01
HIE_AURA_38	38	717572	3	2019-01-01
HIE_AURA_38	38	126213	3	2019-01-01
HIE_AURA_38	38	127191	3	2019-01-01
HIE_AURA_38	38	127195	3	2019-01-01
HIE_AURA_38	38	127457	2	2019-01-01
HIE_AURA_38	38	127469	2	2019-01-01
HIE_AURA_38	38	142006	1	2019-01-01
HIE_AURA_38	38	128084	2	2019-01-01
HIE_AURA_38	38	128315	2	2019-01-01
HIE_AURA_38	38	128330	3	2019-01-01
HIE_AURA_38	38	128347	3	2019-01-01
HIE_AURA_38	38	129275	3	2019-01-01
HIE_AURA_38	38	129643	3	2019-01-01
HIE_AURA_38	38	129898	3	2019-01-01
HIE_AURA_73	73	130728	3	2019-01-01
HIE_AURA_73	73	130729	3	2019-01-01
HIE_AURA_73	73	79914	3	2019-01-01
HIE_AURA_73	73	79939	3	2019-01-01
HIE_AURA_73	73	80224	3	2019-01-01
HIE_AURA_73	73	81096	3	2019-01-01
HIE_AURA_73	73	81098	3	2019-01-01
HIE_AURA_73	73	81316	2	2019-01-01
HIE_AURA_73	73	81347	3	2019-01-01
HIE_AURA_73	73	82282	3	2019-01-01
HIE_AURA_73	73	82286	2	2019-01-01
HIE_AURA_73	73	143482	3	2019-01-01
HIE_AURA_73	73	82420	3	2019-01-01
HIE_AURA_73	73	82478	3	2019-01-01
HIE_AURA_73	73	82535	3	2019-01-01
HIE_AURA_73	73	82619	2	2019-01-01
HIE_AURA_73	73	83607	3	2019-01-01
HIE_AURA_73	73	83945	2	2019-01-01
HIE_AURA_73	73	83951	3	2019-01-01
HIE_AURA_73	73	131848	3	2019-01-01
HIE_AURA_73	73	84817	3	2019-01-01
HIE_AURA_73	73	84839	3	2019-01-01
HIE_AURA_73	73	84859	3	2019-01-01
HIE_AURA_73	73	131929	3	2019-01-01
HIE_AURA_73	73	85486	2	2019-01-01
HIE_AURA_73	73	86199	3	2019-01-01
HIE_AURA_73	73	611983	3	2019-01-01
HIE_AURA_73	73	87136	2	2019-01-01
HIE_AURA_73	73	87218	3	2019-01-01
HIE_AURA_73	73	87275	3	2019-01-01
HIE_AURA_73	73	87613	3	2019-01-01
HIE_AURA_73	73	87897	3	2019-01-01
HIE_AURA_73	73	88344	3	2019-01-01
HIE_AURA_73	73	88360	3	2019-01-01
HIE_AURA_73	73	88380	3	2019-01-01
HIE_AURA_73	73	88386	3	2019-01-01
HIE_AURA_73	73	88391	3	2019-01-01
HIE_AURA_73	73	88400	3	2019-01-01
HIE_AURA_73	73	88468	2	2019-01-01
HIE_AURA_73	73	88472	3	2019-01-01
HIE_AURA_73	73	88508	3	2019-01-01
HIE_AURA_73	73	526279	3	2019-01-01
HIE_AURA_73	73	88606	3	2019-01-01
HIE_AURA_73	73	154761	3	2019-01-01
HIE_AURA_73	73	88662	3	2019-01-01
HIE_AURA_73	73	88675	3	2019-01-01
HIE_AURA_73	73	88693	3	2019-01-01
HIE_AURA_73	73	88762	3	2019-01-01
HIE_AURA_73	73	88893	3	2019-01-01
HIE_AURA_73	73	88932	3	2019-01-01
HIE_AURA_73	73	89149	3	2019-01-01
HIE_AURA_73	73	89316	3	2019-01-01
HIE_AURA_73	73	90046	3	2019-01-01
HIE_AURA_73	73	133172	3	2019-01-01
HIE_AURA_73	73	91346	3	2019-01-01
HIE_AURA_73	73	145654	3	2019-01-01
HIE_AURA_73	73	93112	3	2019-01-01
HIE_AURA_73	73	93122	3	2019-01-01
HIE_AURA_73	73	93830	3	2019-01-01
HIE_AURA_73	73	93929	2	2019-01-01
HIE_AURA_73	73	94068	3	2019-01-01
HIE_AURA_73	73	94449	2	2019-01-01
HIE_AURA_73	73	94833	3	2019-01-01
HIE_AURA_73	73	95368	3	2019-01-01
HIE_AURA_73	73	95398	3	2019-01-01
HIE_AURA_73	73	95439	3	2019-01-01
HIE_AURA_73	73	718211	3	2019-01-01
HIE_AURA_73	73	96469	3	2019-01-01
HIE_AURA_73	73	96664	3	2019-01-01
HIE_AURA_73	73	96742	3	2019-01-01
HIE_AURA_73	73	96851	3	2019-01-01
HIE_AURA_73	73	97133	3	2019-01-01
HIE_AURA_73	73	98060	3	2019-01-01
HIE_AURA_73	73	99165	3	2019-01-01
HIE_AURA_73	73	99922	2	2019-01-01
HIE_AURA_73	73	99951	3	2019-01-01
HIE_AURA_73	73	99988	3	2019-01-01
HIE_AURA_73	73	100702	3	2019-01-01
HIE_AURA_73	73	100824	2	2019-01-01
HIE_AURA_73	73	102870	2	2019-01-01
HIE_AURA_73	73	102930	3	2019-01-01
HIE_AURA_73	73	102990	3	2019-01-01
HIE_AURA_73	73	103027	3	2019-01-01
HIE_AURA_73	73	103120	2	2019-01-01
HIE_AURA_73	73	103383	3	2019-01-01
HIE_AURA_73	73	103768	3	2019-01-01
HIE_AURA_73	73	103995	2	2019-01-01
HIE_AURA_73	73	610645	3	2019-01-01
HIE_AURA_73	73	104123	3	2019-01-01
HIE_AURA_73	73	105086	3	2019-01-01
HIE_AURA_73	73	105827	1	2019-01-01
HIE_AURA_73	73	718376	3	2019-01-01
HIE_AURA_73	73	106260	3	2019-01-01
HIE_AURA_73	73	106353	2	2019-01-01
HIE_AURA_73	73	106993	3	2019-01-01
HIE_AURA_73	73	610911	3	2019-01-01
HIE_AURA_73	73	107509	3	2019-01-01
HIE_AURA_73	73	109057	2	2019-01-01
HIE_AURA_73	73	109534	3	2019-01-01
HIE_AURA_73	73	159499	3	2019-01-01
HIE_AURA_73	73	109769	2	2019-01-01
HIE_AURA_73	73	138126	3	2019-01-01
HIE_AURA_73	73	110108	3	2019-01-01
HIE_AURA_73	73	138241	1	2019-01-01
HIE_AURA_73	73	111464	3	2019-01-01
HIE_AURA_73	73	111474	3	2019-01-01
HIE_AURA_73	73	111976	3	2019-01-01
HIE_AURA_73	73	138547	3	2019-01-01
HIE_AURA_73	73	112592	3	2019-01-01
HIE_AURA_73	73	113090	3	2019-01-01
HIE_AURA_73	73	138815	3	2019-01-01
HIE_AURA_73	73	138817	3	2019-01-01
HIE_AURA_73	73	114226	3	2019-01-01
HIE_AURA_73	73	114579	3	2019-01-01
HIE_AURA_73	73	115458	1	2019-01-01
HIE_AURA_73	73	115563	3	2019-01-01
HIE_AURA_73	73	115574	3	2019-01-01
HIE_AURA_73	73	115894	3	2019-01-01
HIE_AURA_73	73	115903	1	2019-01-01
HIE_AURA_73	73	150460	3	2019-01-01
HIE_AURA_73	73	139818	3	2019-01-01
HIE_AURA_73	73	117731	3	2019-01-01
HIE_AURA_73	73	119533	3	2019-01-01
HIE_AURA_73	73	119968	3	2019-01-01
HIE_AURA_73	73	119970	3	2019-01-01
HIE_AURA_73	73	120056	3	2019-01-01
HIE_AURA_73	73	120819	3	2019-01-01
HIE_AURA_73	73	120962	3	2019-01-01
HIE_AURA_73	73	121124	3	2019-01-01
HIE_AURA_73	73	121174	3	2019-01-01
HIE_AURA_73	73	121174	3	2019-01-01
HIE_AURA_73	73	121205	2	2019-01-01
HIE_AURA_73	73	121556	2	2019-01-01
HIE_AURA_73	73	140804	3	2019-01-01
HIE_AURA_73	73	141033	3	2019-01-01
HIE_AURA_73	73	123082	3	2019-01-01
HIE_AURA_73	73	123669	2	2019-01-01
HIE_AURA_73	73	123899	3	2019-01-01
HIE_AURA_73	73	124699	3	2019-01-01
HIE_AURA_73	73	125173	3	2019-01-01
HIE_AURA_73	73	717572	3	2019-01-01
HIE_AURA_73	73	126070	3	2019-01-01
HIE_AURA_73	73	126213	3	2019-01-01
HIE_AURA_73	73	126806	3	2019-01-01
